
METEOCLIMAT FANTOMON (MCL), 14 Avril
VOUS POUVEZ UTILISER CES DONNEES DE TEMPERATURE A CONDITION QUE CELA NE SOIT PAS COMMERCIAL.

Fantomon, 2020. Données de http://www.meteostats.bzh/index.php. Tous droits réservés.

FORMAT DU FICHIER (DONNEE MANQUANTE: -9999):

01-06 ID: Numéro ID de la station
08-15 DATE : Date YYYYMMDD
17-21 P   : Précipitations de la journée en 0,1mm
23-27 Q_P : validité de la p (0='valide'; 9='manquant')

Voici les données de Toulouse (Numéro d'identification du lieu: 9).
ALTITUDE: 151m
LATITUDE: 43°37'24"N           LONGITUDE: 01°22'42"E

    ID,    DATE,    P, Q_P
     9,18780912,    0,    0
     9,18780913,    0,    0
     9,18780914,    0,    0
     9,18780915,    0,    0
     9,18780916,   15,    0
     9,18780917,    0,    0
     9,18780918,    0,    0
     9,18780919,   11,    0
     9,18780920,    0,    0
     9,18780921,    0,    0
     9,18780922,    0,    0
     9,18780923,    4,    0
     9,18780924,   32,    0
     9,18780925,   24,    0
     9,18780926,    3,    0
     9,18780927,    0,    0
     9,18780928,    0,    0
     9,18780929,    0,    0
     9,18780930,    0,    0
     9,18781001,    0,    0
     9,18781002,    0,    0
     9,18781003,    0,    0
     9,18781004,    0,    0
     9,18781005,    0,    0
     9,18781006,  103,    0
     9,18781007,   34,    0
     9,18781008,   33,    0
     9,18781009,    0,    0
     9,18781010,   10,    0
     9,18781011,    0,    0
     9,18781012,    0,    0
     9,18781013,    0,    0
     9,18781014,    0,    0
     9,18781015,    0,    0
     9,18781016,    0,    0
     9,18781017,   13,    0
     9,18781018,  314,    0
     9,18781019,    0,    0
     9,18781020,    0,    0
     9,18781021,   37,    0
     9,18781022,   33,    0
     9,18781023,   17,    0
     9,18781024,    0,    0
     9,18781025,  104,    0
     9,18781026,    0,    0
     9,18781027,   32,    0
     9,18781028,   16,    0
     9,18781029,   48,    0
     9,18781030,   35,    0
     9,18781031,   17,    0
     9,18781101,   40,    0
     9,18781102,   74,    0
     9,18781103,    0,    0
     9,18781104,    0,    0
     9,18781105,   22,    0
     9,18781106,   34,    0
     9,18781107,    5,    0
     9,18781108,    0,    0
     9,18781109,   37,    0
     9,18781110,    0,    0
     9,18781111,   27,    0
     9,18781112,    0,    0
     9,18781113,   67,    0
     9,18781114,   11,    0
     9,18781115,    2,    0
     9,18781116,    0,    0
     9,18781117,    7,    0
     9,18781118,    3,    0
     9,18781119,   21,    0
     9,18781120,   14,    0
     9,18781121,    0,    0
     9,18781122,    0,    0
     9,18781123,    0,    0
     9,18781124,    0,    0
     9,18781125,    0,    0
     9,18781126,    0,    0
     9,18781127,    0,    0
     9,18781128,   19,    0
     9,18781129,   40,    0
     9,18781130,   20,    0
     9,18781201,  116,    0
     9,18781202,  119,    0
     9,18781203,    0,    0
     9,18781204,    0,    0
     9,18781205,  132,    0
     9,18781206,    6,    0
     9,18781207,    9,    0
     9,18781208,   30,    0
     9,18781209,   38,    0
     9,18781210,    0,    0
     9,18781211,    0,    0
     9,18781212,    0,    0
     9,18781213,    0,    0
     9,18781214,    3,    0
     9,18781215,   33,    0
     9,18781216,    4,    0
     9,18781217,  211,    0
     9,18781218,    0,    0
     9,18781219,   23,    0
     9,18781220,   95,    0
     9,18781221,   25,    0
     9,18781222,    0,    0
     9,18781223,   26,    0
     9,18781224,    0,    0
     9,18781225,    0,    0
     9,18781226,    0,    0
     9,18781227,   70,    0
     9,18781228,    0,    0
     9,18781229,   38,    0
     9,18781230,    7,    0
     9,18781231,    0,    0
     9,18790101,    0,    0
     9,18790102,    0,    0
     9,18790103,    0,    0
     9,18790104,   38,    0
     9,18790105,   30,    0
     9,18790106,   78,    0
     9,18790107,  220,    0
     9,18790108,  207,    0
     9,18790109,    0,    0
     9,18790110,   72,    0
     9,18790111,    0,    0
     9,18790112,   62,    0
     9,18790113,    0,    0
     9,18790114,    0,    0
     9,18790115,    0,    0
     9,18790116,    0,    0
     9,18790117,   49,    0
     9,18790118,   18,    0
     9,18790119,   12,    0
     9,18790120,    0,    0
     9,18790121,    0,    0
     9,18790122,    0,    0
     9,18790123,    0,    0
     9,18790124,    1,    0
     9,18790125,   80,    0
     9,18790126,  125,    0
     9,18790127,   12,    0
     9,18790128,    7,    0
     9,18790129,   10,    0
     9,18790130,    0,    0
     9,18790131,    0,    0
     9,18790201,    0,    0
     9,18790202,   21,    0
     9,18790203,   31,    0
     9,18790204,  172,    0
     9,18790205,    4,    0
     9,18790206,   32,    0
     9,18790207,   14,    0
     9,18790208,   45,    0
     9,18790209,    0,    0
     9,18790210,    1,    0
     9,18790211,   20,    0
     9,18790212,   23,    0
     9,18790213,   17,    0
     9,18790214,   81,    0
     9,18790215,   32,    0
     9,18790216,  152,    0
     9,18790217,  362,    0
     9,18790218,  158,    0
     9,18790219,   20,    0
     9,18790220,   57,    0
     9,18790221,   69,    0
     9,18790222,   98,    0
     9,18790223,   68,    0
     9,18790224,    0,    0
     9,18790225,    0,    0
     9,18790226,   22,    0
     9,18790227,   33,    0
     9,18790228,   88,    0
     9,18790301,    0,    0
     9,18790302,    0,    0
     9,18790303,    0,    0
     9,18790304,    0,    0
     9,18790305,    0,    0
     9,18790306,    0,    0
     9,18790307,    0,    0
     9,18790308,    0,    0
     9,18790309,    0,    0
     9,18790310,    0,    0
     9,18790311,    0,    0
     9,18790312,    0,    0
     9,18790313,    0,    0
     9,18790314,    0,    0
     9,18790315,    0,    0
     9,18790316,    0,    0
     9,18790317,    0,    0
     9,18790318,    0,    0
     9,18790319,    0,    0
     9,18790320,   71,    0
     9,18790321,   98,    0
     9,18790322,   37,    0
     9,18790323,  270,    0
     9,18790324,   82,    0
     9,18790325,   17,    0
     9,18790326,    0,    0
     9,18790327,   31,    0
     9,18790328,  127,    0
     9,18790329,   24,    0
     9,18790330,    0,    0
     9,18790331,    0,    0
     9,18790401,  188,    0
     9,18790402,  111,    0
     9,18790403,   10,    0
     9,18790404,    5,    0
     9,18790405,    0,    0
     9,18790406,    0,    0
     9,18790407,   95,    0
     9,18790408,   64,    0
     9,18790409,    8,    0
     9,18790410,   28,    0
     9,18790411,    0,    0
     9,18790412,    1,    0
     9,18790413,    0,    0
     9,18790414,   11,    0
     9,18790415,   35,    0
     9,18790416,   73,    0
     9,18790417,   54,    0
     9,18790418,   88,    0
     9,18790419,    1,    0
     9,18790420,   63,    0
     9,18790421,   70,    0
     9,18790422,    5,    0
     9,18790423,   31,    0
     9,18790424,  100,    0
     9,18790425,   19,    0
     9,18790426,   29,    0
     9,18790427,   88,    0
     9,18790428,  158,    0
     9,18790429,    4,    0
     9,18790430,    0,    0
     9,18790501,  225,    0
     9,18790502,   24,    0
     9,18790503,    0,    0
     9,18790504,    0,    0
     9,18790505,   15,    0
     9,18790506,    7,    0
     9,18790507,  198,    0
     9,18790508,   17,    0
     9,18790509,   88,    0
     9,18790510,  150,    0
     9,18790511,    3,    0
     9,18790512,    9,    0
     9,18790513,    0,    0
     9,18790514,    0,    0
     9,18790515,    0,    0
     9,18790516,   47,    0
     9,18790517,  134,    0
     9,18790518,  108,    0
     9,18790519,   12,    0
     9,18790520,    0,    0
     9,18790521,    0,    0
     9,18790522,    0,    0
     9,18790523,    0,    0
     9,18790524,   64,    0
     9,18790525,    0,    0
     9,18790526,   30,    0
     9,18790527,   53,    0
     9,18790528,    0,    0
     9,18790529,    0,    0
     9,18790530,    0,    0
     9,18790531,    0,    0
     9,18790601,    0,    0
     9,18790602,    0,    0
     9,18790603,    0,    0
     9,18790604,    0,    0
     9,18790605,    0,    0
     9,18790606,    0,    0
     9,18790607,   49,    0
     9,18790608,  193,    0
     9,18790609,  109,    0
     9,18790610,    0,    0
     9,18790611,    0,    0
     9,18790612,    0,    0
     9,18790613,    0,    0
     9,18790614,    0,    0
     9,18790615,  110,    0
     9,18790616,  246,    0
     9,18790617,   86,    0
     9,18790618,    0,    0
     9,18790619,   34,    0
     9,18790620,    0,    0
     9,18790621,    0,    0
     9,18790622,    1,    0
     9,18790623,    0,    0
     9,18790624,    1,    0
     9,18790625,    0,    0
     9,18790626,    0,    0
     9,18790627,    0,    0
     9,18790628,    0,    0
     9,18790629,    0,    0
     9,18790630,    0,    0
     9,18790701,   28,    0
     9,18790702,   35,    0
     9,18790703,   27,    0
     9,18790704,    0,    0
     9,18790705,    0,    0
     9,18790706,    0,    0
     9,18790707,    0,    0
     9,18790708,    0,    0
     9,18790709,    0,    0
     9,18790710,    3,    0
     9,18790711,    0,    0
     9,18790712,    3,    0
     9,18790713,  121,    0
     9,18790714,    0,    0
     9,18790715,    0,    0
     9,18790716,    0,    0
     9,18790717,    5,    0
     9,18790718,    0,    0
     9,18790719,    0,    0
     9,18790720,    4,    0
     9,18790721,   11,    0
     9,18790722,    0,    0
     9,18790723,    0,    0
     9,18790724,    0,    0
     9,18790725,    0,    0
     9,18790726,   82,    0
     9,18790727,    0,    0
     9,18790728,    0,    0
     9,18790729,    0,    0
     9,18790730,    0,    0
     9,18790731,    0,    0
     9,18790801,    0,    0
     9,18790802,    0,    0
     9,18790803,    0,    0
     9,18790804,    0,    0
     9,18790805,    0,    0
     9,18790806,    0,    0
     9,18790807,    0,    0
     9,18790808,    0,    0
     9,18790809,    0,    0
     9,18790810,    0,    0
     9,18790811,    0,    0
     9,18790812,    0,    0
     9,18790813,    0,    0
     9,18790814,    0,    0
     9,18790815,    0,    0
     9,18790816,    0,    0
     9,18790817,    0,    0
     9,18790818,    0,    0
     9,18790819,    0,    0
     9,18790820,    0,    0
     9,18790821,    0,    0
     9,18790822,    0,    0
     9,18790823,    0,    0
     9,18790824,    0,    0
     9,18790825,    0,    0
     9,18790826,    0,    0
     9,18790827,    0,    0
     9,18790828,    0,    0
     9,18790829,    0,    0
     9,18790830,    0,    0
     9,18790831,    0,    0
     9,18790901,    0,    0
     9,18790902,    0,    0
     9,18790903,    0,    0
     9,18790904,   10,    0
     9,18790905,  346,    0
     9,18790906,   63,    0
     9,18790907,    0,    0
     9,18790908,   37,    0
     9,18790909,  105,    0
     9,18790910,    0,    0
     9,18790911,    0,    0
     9,18790912,    0,    0
     9,18790913,    0,    0
     9,18790914,   95,    0
     9,18790915,  417,    0
     9,18790916,    0,    0
     9,18790917,    0,    0
     9,18790918,    1,    0
     9,18790919,   48,    0
     9,18790920,    0,    0
     9,18790921,    0,    0
     9,18790922,    0,    0
     9,18790923,    0,    0
     9,18790924,    4,    0
     9,18790925,   89,    0
     9,18790926,    0,    0
     9,18790927,    8,    0
     9,18790928,    0,    0
     9,18790929,    0,    0
     9,18790930,    0,    0
     9,18791001,    0,    0
     9,18791002,  123,    0
     9,18791003,    0,    0
     9,18791004,    0,    0
     9,18791005,    0,    0
     9,18791006,    0,    0
     9,18791007,    0,    0
     9,18791008,    0,    0
     9,18791009,    0,    0
     9,18791010,    0,    0
     9,18791011,    0,    0
     9,18791012,    0,    0
     9,18791013,    0,    0
     9,18791014,    0,    0
     9,18791015,   53,    0
     9,18791016,    0,    0
     9,18791017,    0,    0
     9,18791018,   10,    0
     9,18791019,    0,    0
     9,18791020,  141,    0
     9,18791021,    1,    0
     9,18791022,    2,    0
     9,18791023,   10,    0
     9,18791024,    2,    0
     9,18791025,   55,    0
     9,18791026,    2,    0
     9,18791027,    0,    0
     9,18791028,   94,    0
     9,18791029,    0,    0
     9,18791030,    0,    0
     9,18791031,    0,    0
     9,18791101,    0,    0
     9,18791102,    0,    0
     9,18791103,    0,    0
     9,18791104,    0,    0
     9,18791105,    0,    0
     9,18791106,    0,    0
     9,18791107,    0,    0
     9,18791108,    0,    0
     9,18791109,    0,    0
     9,18791110,    0,    0
     9,18791111,    0,    0
     9,18791112,    6,    0
     9,18791113,   12,    0
     9,18791114,    8,    0
     9,18791115,    0,    0
     9,18791116,    0,    0
     9,18791117,    0,    0
     9,18791118,    7,    0
     9,18791119,   22,    0
     9,18791120,    3,    0
     9,18791121,   13,    0
     9,18791122,    0,    0
     9,18791123,    4,    0
     9,18791124,  128,    0
     9,18791125,    0,    0
     9,18791126,    0,    0
     9,18791127,   70,    0
     9,18791128,   35,    0
     9,18791129,   78,    0
     9,18791130,   13,    0
     9,18791201,    0,    0
     9,18791202,    0,    0
     9,18791203,    0,    0
     9,18791204,    0,    0
     9,18791205,    0,    0
     9,18791206,    0,    0
     9,18791207,    1,    0
     9,18791208,    0,    0
     9,18791209,    0,    0
     9,18791210,    0,    0
     9,18791211,    0,    0
     9,18791212,    0,    0
     9,18791213,    0,    0
     9,18791214,    0,    0
     9,18791215,    0,    0
     9,18791216,    0,    0
     9,18791217,    0,    0
     9,18791218,    1,    0
     9,18791219,    0,    0
     9,18791220,    0,    0
     9,18791221,    0,    0
     9,18791222,    0,    0
     9,18791223,    0,    0
     9,18791224,    0,    0
     9,18791225,    0,    0
     9,18791226,    0,    0
     9,18791227,    0,    0
     9,18791228,    0,    0
     9,18791229,    0,    0
     9,18791230,    0,    0
     9,18791231,   10,    0
     9,18800101,    8,    0
     9,18800102,   40,    0
     9,18800103,   75,    0
     9,18800104,    0,    0
     9,18800105,   88,    0
     9,18800106,  305,    0
     9,18800107,   16,    0
     9,18800108,    0,    0
     9,18800109,    0,    0
     9,18800110,    0,    0
     9,18800111,    0,    0
     9,18800112,    0,    0
     9,18800113,    0,    0
     9,18800114,    0,    0
     9,18800115,    0,    0
     9,18800116,    0,    0
     9,18800117,    0,    0
     9,18800118,    0,    0
     9,18800119,    0,    0
     9,18800120,    0,    0
     9,18800121,    0,    0
     9,18800122,    0,    0
     9,18800123,  110,    0
     9,18800124,    0,    0
     9,18800125,    0,    0
     9,18800126,  305,    0
     9,18800127,    0,    0
     9,18800128,    0,    0
     9,18800129,    0,    0
     9,18800130,    0,    0
     9,18800131,    0,    0
     9,18800201,    0,    0
     9,18800202,    0,    0
     9,18800203,    0,    0
     9,18800204,    0,    0
     9,18800205,    0,    0
     9,18800206,    0,    0
     9,18800207,    0,    0
     9,18800208,   92,    0
     9,18800209,    0,    0
     9,18800210,    1,    0
     9,18800211,   32,    0
     9,18800212,    0,    0
     9,18800213,    0,    0
     9,18800214,    0,    0
     9,18800215,    0,    0
     9,18800216,    1,    0
     9,18800217,   27,    0
     9,18800218,    0,    0
     9,18800219,    0,    0
     9,18800220,    0,    0
     9,18800221,    0,    0
     9,18800222,  102,    0
     9,18800223,   25,    0
     9,18800224,   23,    0
     9,18800225,    0,    0
     9,18800226,    0,    0
     9,18800227,    1,    0
     9,18800228,    0,    0
     9,18800229,    0,    0
     9,18800301,    0,    0
     9,18800302,    6,    0
     9,18800303,    0,    0
     9,18800304,    0,    0
     9,18800305,    0,    0
     9,18800306,    0,    0
     9,18800307,    1,    0
     9,18800308,    0,    0
     9,18800309,    0,    0
     9,18800310,    0,    0
     9,18800311,    0,    0
     9,18800312,    0,    0
     9,18800313,    0,    0
     9,18800314,    0,    0
     9,18800315,    0,    0
     9,18800316,    0,    0
     9,18800317,   28,    0
     9,18800318,  127,    0
     9,18800319,    0,    0
     9,18800320,    0,    0
     9,18800321,    0,    0
     9,18800322,    0,    0
     9,18800323,    1,    0
     9,18800324,    0,    0
     9,18800325,    0,    0
     9,18800326,    3,    0
     9,18800327,   27,    0
     9,18800328,    0,    0
     9,18800329,    0,    0
     9,18800330,    0,    0
     9,18800331,    0,    0
     9,18800401,   52,    0
     9,18800402,   85,    0
     9,18800403,  101,    0
     9,18800404,   21,    0
     9,18800405,  150,    0
     9,18800406,  120,    0
     9,18800407,   37,    0
     9,18800408,    2,    0
     9,18800409,   22,    0
     9,18800410,    0,    0
     9,18800411,   40,    0
     9,18800412,    0,    0
     9,18800413,    0,    0
     9,18800414,    0,    0
     9,18800415,    0,    0
     9,18800416,  123,    0
     9,18800417,    0,    0
     9,18800418,   61,    0
     9,18800419,    0,    0
     9,18800420,  168,    0
     9,18800421,    4,    0
     9,18800422,    0,    0
     9,18800423,   21,    0
     9,18800424,    0,    0
     9,18800425,    0,    0
     9,18800426,   15,    0
     9,18800427,   21,    0
     9,18800428,    0,    0
     9,18800429,    0,    0
     9,18800430,    0,    0
     9,18800501,    0,    0
     9,18800502,    0,    0
     9,18800503,    0,    0
     9,18800504,    0,    0
     9,18800505,  167,    0
     9,18800506,   28,    0
     9,18800507,   35,    0
     9,18800508,    0,    0
     9,18800509,    0,    0
     9,18800510,    0,    0
     9,18800511,   15,    0
     9,18800512,  100,    0
     9,18800513,    2,    0
     9,18800514,    0,    0
     9,18800515,    0,    0
     9,18800516,    0,    0
     9,18800517,    0,    0
     9,18800518,   18,    0
     9,18800519,  130,    0
     9,18800520,    0,    0
     9,18800521,    0,    0
     9,18800522,    0,    0
     9,18800523,    0,    0
     9,18800524,    0,    0
     9,18800525,    0,    0
     9,18800526,    0,    0
     9,18800527,   60,    0
     9,18800528,    9,    0
     9,18800529,    0,    0
     9,18800530,    0,    0
     9,18800531,    0,    0
     9,18800601,   17,    0
     9,18800602,   23,    0
     9,18800603,   12,    0
     9,18800604,  113,    0
     9,18800605,   40,    0
     9,18800606,    0,    0
     9,18800607,    0,    0
     9,18800608,    0,    0
     9,18800609,   14,    0
     9,18800610,   35,    0
     9,18800611,  116,    0
     9,18800612,   29,    0
     9,18800613,    0,    0
     9,18800614,  113,    0
     9,18800615,    0,    0
     9,18800616,    0,    0
     9,18800617,    0,    0
     9,18800618,    4,    0
     9,18800619,    0,    0
     9,18800620,   91,    0
     9,18800621,   12,    0
     9,18800622,    0,    0
     9,18800623,    0,    0
     9,18800624,   51,    0
     9,18800625,    0,    0
     9,18800626,   92,    0
     9,18800627,    0,    0
     9,18800628,    0,    0
     9,18800629,    0,    0
     9,18800630,    0,    0
     9,18800701,    0,    0
     9,18800702,    0,    0
     9,18800703,    0,    0
     9,18800704,    0,    0
     9,18800705,    0,    0
     9,18800706,    0,    0
     9,18800707,    0,    0
     9,18800708,   10,    0
     9,18800709,    0,    0
     9,18800710,  194,    0
     9,18800711,    0,    0
     9,18800712,    0,    0
     9,18800713,    0,    0
     9,18800714,    0,    0
     9,18800715,    0,    0
     9,18800716,    0,    0
     9,18800717,    0,    0
     9,18800718,    0,    0
     9,18800719,    1,    0
     9,18800720,    1,    0
     9,18800721,   20,    0
     9,18800722,   83,    0
     9,18800723,    0,    0
     9,18800724,    0,    0
     9,18800725,    0,    0
     9,18800726,    0,    0
     9,18800727,    0,    0
     9,18800728,    0,    0
     9,18800729,    0,    0
     9,18800730,    0,    0
     9,18800731,    0,    0
     9,18800801,    8,    0
     9,18800802,   40,    0
     9,18800803,   75,    0
     9,18800804,    0,    0
     9,18800805,   88,    0
     9,18800806,  305,    0
     9,18800807,   16,    0
     9,18800808,    0,    0
     9,18800809,    0,    0
     9,18800810,    0,    0
     9,18800811,    0,    0
     9,18800812,    0,    0
     9,18800813,    0,    0
     9,18800814,    0,    0
     9,18800815,    0,    0
     9,18800816,    1,    0
     9,18800817,    0,    0
     9,18800818,    0,    0
     9,18800819,    1,    0
     9,18800820,    0,    0
     9,18800821,    1,    0
     9,18800822,    0,    0
     9,18800823,  110,    0
     9,18800824,    0,    0
     9,18800825,    0,    0
     9,18800826,  305,    0
